route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
8__441___,CRTM,441,MADRID (Plaza Elíptica)-GETAFE (Sector III-Paseo Juan José Rosón),,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__441___.aspx,8EBF42,FFFFFF
8__442___,CRTM,442,MADRID (Plaza Elíptica)-GETAFE (Juan de la Cierva),,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__442___.aspx,8EBF42,FFFFFF
8__443___,CRTM,443,MADRID (Plaza Elíptica)-GETAFE (Barrio Las Margaritas),,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__443___.aspx,8EBF42,FFFFFF
8__444___,CRTM,444,MADRID (Plaza Elíptica)-GETAFE (Sector III-Islas Canarias),,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__444___.aspx,8EBF42,FFFFFF
8__446___,CRTM,446,MADRID (Plaza Elíptica)-GETAFE (El Bercial),,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__446___.aspx,8EBF42,FFFFFF
8__447___,CRTM,447,MADRID (Legazpi)-GETAFE (Hospital),,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__447___.aspx,8EBF42,FFFFFF
8__448___,CRTM,448,MADRID (Legazpi)-GETAFE (Por Villaverde),,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__448___.aspx,8EBF42,FFFFFF
8__450___,CRTM,450,GETAFE-LEGANÉS-ALCORCÓN,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__450___.aspx,8EBF42,FFFFFF
8__480___,CRTM,480,MADRID (Plaza Elíptica)-LEGANÉS (Estación FFCC),,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__480___.aspx,8EBF42,FFFFFF
8__481___,CRTM,481,MADRID (Oporto)-LEGANÉS (Parquesur-Hospital),,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__481___.aspx,8EBF42,FFFFFF
8__482___,CRTM,482,MADRID (Aluche) - LEGANÉS (Arroyo Culebro),,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__482___.aspx,8EBF42,FFFFFF
8__483___,CRTM,483,MADRID (Aluche)-LEGANÉS (Vereda de los Estudiantes),,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__483___.aspx,8EBF42,FFFFFF
8__484___,CRTM,484,MADRID (Oporto)-LEGANÉS (Estación FFCC),,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__484___.aspx,8EBF42,FFFFFF
8__485___,CRTM,485,MADRID (Aluche)-LEGANÉS (Norte-Montepinos),,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__485___.aspx,8EBF42,FFFFFF
8__486___,CRTM,486,MADRID (Oporto)-LEGANÉS (Valdepelayo),,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__486___.aspx,8EBF42,FFFFFF
